Designator,Mid X,Mid Y,Layer,Rotation
C1,101.600000mm,-46.228000mm,Bottom,180
C2,102.644000mm,-57.122000mm,Bottom,270
R1,102.108000mm,-50.038000mm,Bottom,0
R2,102.108000mm,-49.022000mm,Bottom,0
R3,100.076000mm,-48.006000mm,Bottom,180
R4,102.108000mm,-48.006000mm,Bottom,0
R5,100.074000mm,-61.722000mm,Bottom,180
R6,100.076000mm,-50.038000mm,Bottom,180
R7,102.106000mm,-62.738000mm,Bottom,0
R8,102.106000mm,-61.722000mm,Bottom,0
R9,100.074000mm,-60.706000mm,Bottom,180
R10,102.106000mm,-60.706000mm,Bottom,0
R11,100.076000mm,-49.022000mm,Bottom,180
R12,100.074000mm,-62.738000mm,Bottom,180
SW1,101.116000mm,-41.910000mm,Bottom,180
U1,94.044000mm,-32.128500mm,Bottom,90
U2,106.839000mm,-17.081500mm,Bottom,90
U3,106.836500mm,-32.131000mm,Bottom,90
U4,94.041500mm,-17.079000mm,Bottom,90
